Name,ResourceName,ResourceType,ResourceGroupName,Location
restoresh,restoresh,Microsoft.Compute/virtualMachines,aautomationtest,westus
restoresh-nic-1256f32f95fc42b78141bae097b65d30,restoresh-nic-1256f32f95fc42b78141bae097b65d30,Microsoft.Network/networkInterfaces,aautomationtest,westus
restoresh-pip-79d4e48079284ee88c3146c52cb38103,restoresh-pip-79d4e48079284ee88c3146c52cb38103,Microsoft.Network/publicIPAddresses,aautomationtest,westus
neportallogs,neportallogs,Microsoft.Storage/storageAccounts,aautomationtest,southeastasia
ioptest737,ioptest737,Microsoft.Network/networkInterfaces,Aldridgetesting,southeastasia
testingdisk461,testingdisk461,Microsoft.Network/networkInterfaces,Aldridgetesting,southeastasia
IOPTest,IOPTest,Microsoft.Network/networkSecurityGroups,Aldridgetesting,southeastasia
TestingDisk,TestingDisk,Microsoft.Network/networkSecurityGroups,Aldridgetesting,southeastasia
IOPTest,IOPTest,Microsoft.Network/publicIPAddresses,Aldridgetesting,southeastasia
TestingDisk,TestingDisk,Microsoft.Network/publicIPAddresses,Aldridgetesting,southeastasia
Aldridgetesting,Aldridgetesting,Microsoft.Network/virtualNetworks,Aldridgetesting,southeastasia
alridgetest,alridgetest,Microsoft.Storage/storageAccounts,Aldridgetesting,southeastasia
SourceAz2Az,SourceAz2Az,Microsoft.Compute/virtualMachines,ASRAz2Az,westeurope
sourceaz2az11,sourceaz2az11,Microsoft.Network/networkInterfaces,ASRAz2Az,westeurope
SourceAz2Az-nsg,SourceAz2Az-nsg,Microsoft.Network/networkSecurityGroups,ASRAz2Az,westeurope
SourceAz2Az-ip,SourceAz2Az-ip,Microsoft.Network/publicIPAddresses,ASRAz2Az,westeurope
ASRAz2Az-vnet,ASRAz2Az-vnet,Microsoft.Network/virtualNetworks,ASRAz2Az,westeurope
ASRAz2Azvnet,ASRAz2Azvnet,Microsoft.Network/virtualNetworks,ASRAz2Az,southeastasia
ASRDemoAzure2Azure,ASRDemoAzure2Azure,Microsoft.RecoveryServices/vaults,ASRAz2Az,southeastasia
asraz2az,asraz2az,Microsoft.Storage/storageAccounts,ASRAz2Az,southeastasia
asraz2azdiag610,asraz2azdiag610,Microsoft.Storage/storageAccounts,ASRAz2Az,westeurope
asraz2azdisks442,asraz2azdisks442,Microsoft.Storage/storageAccounts,ASRAz2Az,westeurope
app01,app01,Microsoft.Compute/virtualMachines,ASRservers,eastasia
app01/enablevmaccess,app01/enablevmaccess,Microsoft.Compute/virtualMachines/extensions,ASRservers,eastasia
app04,app04,Microsoft.Compute/virtualMachines,ASRservers,eastasia
app010ea81ea4-7b56-41a1-aadc-14f552646000,app010ea81ea4-7b56-41a1-aadc-14f552646000,Microsoft.Network/networkInterfaces,ASRservers,eastasia
app04357,app04357,Microsoft.Network/networkInterfaces,ASRservers,eastasia
app04-nsg,app04-nsg,Microsoft.Network/networkSecurityGroups,ASRservers,eastasia
