"Resource Name","Resource Group","Type","Spent","Location","Meter Name","Meter Category","Meter SubCategory"
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.066402","apsoutheast","Standard IO - Page Blob/Disk (GB)","Storage","Locally Redundant"
,"kbportalvhdszbzl0n2ck0gz","Storage","0.003000","East Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"n5portalvhdswj63sl7hq72f","Storage","0.003000","Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"azureratecard","assessmentautomation","Microsoft.Sql/servers","0.166666666666666656","westus","Standard S0 Database Days","Data Services","SQL Database"
,"teststorage90","Storage","0.003000","South Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
,"mmkkuu789","Storage","0.000010","West US","Standard IO - Table (GB)","Storage","Geo Redundant"
,"wqportalvhds9q1bf8gs1ftq","Storage","0.000010","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
,"9yportalvhds5hm5fg5gr47m","Storage","0.000005","North Central US","Standard IO - Table (GB)","Storage","Locally Redundant"
,"mmkkuu789","Storage","0.011400","West US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management","Geo Redundant"
"automationtest","automationtest","Microsoft.Storage/storageAccounts","0.0012","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"divademo","divademorg","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
,"8yportalvhdsc30ms13v4zz2","Storage","0.000010","JA West","Standard IO - Table (GB)","Storage","Locally Redundant"
"PublicIp","NRP-RG","Microsoft.Network/publicIPAddresses","6.99999999999999923","westus","IP Address Hours","Networking","Reserved IP"
,"cspazuretest","Storage","0.000002","Central US","Standard IO - Table (GB)","Storage","Geo Redundant"
"webapp3","default-applicationinsights-centralus","microsoft.insights/components","0.032258064516129031","eastus2","Free Apps","Visual Studio","Application Insights"
,"testmig2newportal","Storage","0.003000","East US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"9yportalvhds5hm5fg5gr47m","Storage","0.003000","North Central US","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
,"automationsa","Storage","0.000010","Southeast Asia","Standard IO - Table (GB)","Storage","Locally Redundant"
,"frontendvnet","Virtual Network","1.000000","","Basic Gateway Hours","Networking","Virtual Network"
,"8yportalvhdsc30ms13v4zz2","Storage","0.003000","JA West","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"DEVVM","RTECHRG","Microsoft.Compute/virtualMachines","0.007082","eastus2","Data Transfer In (GB)","Networking",
,"automationsa","Storage","0.003000","Southeast Asia","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
"poc3105","poc","Microsoft.Storage/storageAccounts","0.0022","apsoutheast","Standard IO - Table Write Operation Units (in 10,000s)","Data Management",
