"Name","Version"
"Microsoft Visual Basic for Applications 7.1 (x86)","7.1.00.00"
"Microsoft Office Access database engine 2007 (English)","12.0.4518.1031"
"Microsoft Network Monitor 3.4","3.4.2350.0"
"Microsoft Visual Basic for Applications 7.1 (x86) English","7.1.0.0"
"Microsoft Visual C++ 2010  x86 Redistributable - 10.0.40219","10.0.40219"
"Microsoft Visual C++ 2013 x86 Minimum Runtime - 12.0.21005","12.0.21005"
"Microsoft Visual C++ 2013 x86 Additional Runtime - 12.0.21005","12.0.21005"
"AWS Agent","1.0.0.51"
"Sage 300 2017","6.4"
"Sage 300 2017","6.4"
"Microsoft Visual Studio 2010 Tools for Office Runtime (x64)","10.0.31124"
"Sage Advisor Update","2.3.1.0"
"Sage 300 2017","6.4"
"AWS Agent Updater","1.0.0.24"
"Microsoft SQL Server 2012 Native Client ","11.2.5058.0"
"Sage Exchange Desktop","2.0.0.17"
"Microsoft Visual C++ 2005 Redistributable","8.0.61001"
"SPS Application Deployment","1.0.0.0"
"SPS SED API","2.0.0.0"
"Sage 300 .NET Libraries 2017","6.4"
